code;name
PNA;Naza/Kia/Peugeot
PNA;Stellantis Gurun (Malaysia) Sdn. Bhd. (Peugeot)
PNV;Volvo Car Manufacturing Malaysia
PN1;UMW Toyota Motor
PN2;UMW Toyota Motor
PN8;Nissan/Tan Chong Motor Assemblies, Malaysia
PPP;Suzuki
PPV;Volkswagen/HICOM Automotive Manufacturers (Malaysia)
PP1;Mazda/Inokom
PP3;Hyundai/Inokom
PRA;Sinotruk
PRH;Chery (by Chery Alado Holdings [joint venture] at Oriental Assemblers plant)
PRX;Kia/Inokom
PR8;Ford
RA1;Steyr Trucks International FZE, UAE
LFA;Ford Lio Ho Motor Co Ltd. old designation
LM1;Tai Ling Motor Co Ltd. old designation (Suzuki motorcycle made by Tai Ling)
LM4;Tai Ling Motor Co Ltd. old designation (Suzuki ATV made by Tai Ling)
LN1;Tai Ling Motor Co Ltd. old designation (Suzuki motorcycle made by Tai Ling)
LPR;Yamaha Motor Taiwan Co. Ltd. old designation
RFB;Kymco, Taiwan
RFC;Taiwan Golden Bee
RFD;Tai Ling Motor Co Ltd. new designation
RFG;Sanyang Motor Co., Ltd. (SYM) Taiwan
RFL;Adly, Taiwan
RFT;CPI Motor Company, Taiwan
RFV;PGO Scooters including Genuine Scooter Company models made by PGO
RF3;Aeon Motor Co., Ltd., Taiwan
RF5;Yulon Motor Co. Ltd., Taiwan (Luxgen)
RGS;Kawasaki made by Kymco
RHA;Ford Lio Ho Motor Co Ltd. new designation
RKJ;Prince Motors Taiwan
RKL;Kuozui Motors (Toyota)
RKM;China Motor Corporation
RKR;Yamaha Motor Taiwan Co. Ltd. new designation
RKT;Access Motor Co., Ltd.
RK3;Honda Taiwan
RK7;Kawasaki ATV made by Tai Ling Motor Co Ltd (rebadged Suzuki ATV) new designation
RLA;Vina Star Motors Corp. – Mitsubishi
RLC;Yamaha Motor Vietnam Co. Ltd.
RLE;Isuzu Vietnam Co.
RLH;Honda Vietnam Co. Ltd.
RLL;VinFast SUV
RLM;Mercedes-Benz Vietnam
RLN;VinFast
RLV;Vietnam Precision Industrial CO., Ltd. (Can-Am DS 70 & DS 90)
RL0;Ford Vietnam
RL4;Toyota Motor Vietnam
RP8;Piaggio Vietnam Co. Ltd.
R1J;Jiayuan Electric Vehicles (Hong Kong)
R1N;Niu Technologies Group Ltd. (Hong Kong)
R10;ZAP (HK) Co. Ltd.
R2P;Evoke Electric Motorcycles (Hong Kong)
R3M;Mangosteen Technology Co., Ltd. (Hong Kong)
R4N;Elyx Smart Technology Holdings (Hong Kong) Ltd.
SAA;Austin
SAB;Optare
SAD;Daimler Company Limited (until April 1987)
SAD;Jaguar SUV (E-Pace, F-Pace, I-Pace)
SAF;ERF trucks
SAH;Honda made by Austin Rover Group
SAJ;Jaguar passenger car & Daimler passenger car (after April 1987)
SAL;[[../Land Rover/VIN Codes|Land Rover]]
SAM;Morris
SAR;Rover & MG Rover Group
SAT;Triumph car
SAX;Austin-Rover Group including Sterling Cars
SAY;Norton Motorcycles
SAZ;Freight Rover
SA3;Ginetta Cars
SA9/;OX Global
SA9/A11;Morgan Roadster (V6) (USA)
SA9/J00;Morgan Aero 8 (USA)
SA9/004;Morgan (4-wheel passenger cars)
SA9/005;Panther
SA9/010;Invicta S1
SA9/019;TVR
SA9/022;Triking Sports Cars
SA9/026;Fleur de Lys
SA9/038;DAX Cars
SA9/039;Westfield Sportscars
SA9/048;McLaren F1
SA9/088;Spectre Angel 
SA9/050;Marcos Engineering
SA9/062;AC Cars (Brooklands Ace)
SA9/074;Ascari 
SA9/105;Mosler Europe Ltd.
SA9/113;Noble
SA9/130;MG Sport and Racing
SA9/141;Wrightbus
SA9/202;Morgan 3-Wheeler, Super 3
SA9/207;Radical Sportscars
SA9/211;BAC
SA9/231;Peel Engineering
SA9/337;Ariel
SA9/341;Zenos
SA9/438;Charge Cars
SA9/458;Gordon Murray Automotive
SA9/612;Tiger Racing (kit car)
SA9/621;AC Cars (Ace)
SBB;Leyland Vehicles
SBC;Iveco Ford Truck
SBJ;Leyland Bus
SBL;Leyland Motors & Leyland DAF
SBM;McLaren
SBS;Scammell
SBV;Kenworth & Peterbilt trucks made by Leyland Trucks
SB1;[[../Toyota/VIN Codes|Toyota]] Motor Manufacturing UK
SCA;Rolls Royce passenger car
SCB;Bentley passenger car
SCC;Lotus Cars
SCD;Reliant Motors
SCE;DeLorean Motor Cars N. Ireland (UK)
SCF;Aston Martin Lagonda Ltd. passenger car & '21 DBX SUV
SCG;Triumph Engineering Co. Ltd. (original Triumph Motorcycle company)
SCK;Ifor Williams Trailers
SCM;Manitowoc Cranes - Grove
SCR;London Electric Vehicle Company & London Taxi Company & London Taxis International
SCV;Volvo Truck & Bus Scotland
SC5;Wrightbus (from ~2020)
SC6;INEOS Automotive SUV
SDB;Talbot
SDC;SDC Trailers Ltd. (truck trailer)
SDF;Dodge Trucks – UK 1981–1984
SDG;Renault Trucks Industries 1985–1992
SDK;Caterham Cars
SDL;TVR
SDP;NAC MG UK & MG Motor UK Ltd.
SD7;Aston Martin SUV
SD8;Moke International Ltd.
SED;IBC Vehicles (General Motors Luton Plant)
SEG;Dennis Eagle Ltd.
SEY;LDV Group Ltd.
SFA;[[../Ford/VIN Codes|Ford]] UK
SFD;Dennis UK / Alexander Dennis
SFE;Alexander Dennis UK
SFR;General Trailers (truck trailer)
SFN;Foden Trucks
SFZ;Tesla Roadster made by Lotus
SGA;Avondale (caravans)
SGB;Bailey (caravans)
SGD;Swift Group Ltd. (caravans)
SGE;Elddis (caravans)
SGL;Lunar Caravans Ltd.
SG4;Coachman (caravans)
SHH;[[../Honda/VIN Codes|Honda]] UK passenger car
SHS;[[../Honda/VIN Codes|Honda]] UK SUV
SH7;INEOS Automotive truck
SJA;Bentley SUV
SJK;Nissan Motor Manufacturing UK - Infiniti
SJN;Nissan Motor Manufacturing UK - Nissan
SJ1;Ree Automotive
SKA;Vauxhall
SKB;Kel-Berg Trailers & Trucks
SKF;Bedford Vehicles
SKL;Anaig (UK) Technology Ltd
SLA;Rolls Royce SUV
SLC;Thwaites Dumpers
SLP;JC Bamford Excavators Ltd.
SMT;Triumph Motorcycles Ltd. (current Triumph Motorcycle company)
SNE;Wartburg (East Germany)
SNT;Trabant (East Germany)
SPE;B-ON GmbH (Germany)
SUA;Autosan
SUD;Wielton (truck trailers)
SUF;FSM/Fiat Auto Poland (Polski Fiat)
SUJ;Jelcz (Poland)
SUL;FSC (Poland)
SUP;FSO/Daewoo-FSO (Poland)
SUU;Solaris Bus & Coach (Poland)
SU9/NC5;Zasta (truck trailer)
SU9/PL1;Plandex (truck trailer)
SU9/PN1;Solaris Bus & Coach (Poland) - until 2004
SU9/RE2;Gromex (trailer)
SU9/TR1;Plavec (truck trailer)
SU9/YV1;Pilea bus/ARP E-Vehicles (Poland)
SVH;ZASŁAW (truck trailer)
SV9/RN1;Prod-Rent (truck trailer)
SWH;Temared (trailers)
SWV;TA-NO (Poland)
SWZ;Zremb (trailers)
SW9/WG3;Grew / Opalenica (trailer)
SXE;Neptun Trailers
SXM;MELEX Sp. z o.o.
SX9/KT1;SZA - Kutno (bus)
SX9/PN1;Polkon (truck trailer)
SX9/SP1;SOMMER Polska (truck trailer)
SYG;Gniotpol, GT Trailers Sp. z o. o. (truck trailer)
SZA;Scania Poland
SZN;Przyczepy Głowacz (trailer) 
SZ9/PW1;PRO-WAM (truck trailer)
SZ9/TU1;Ovibos (truck trailer)
TAW;NAW Nutzfahrzeuggesellschaft Arbon & Wetzikon AG (Switzerland)
TCC;Micro Compact Car AG (smart 1998-1999) (Switzerland)
TDM;QUANTYA Swiss Electric Movement (Switzerland)
TEB;Bucher Municipal AG (Switzerland)
TFH;FHS Frech-Hoch AG (truck trailer) (Switzerland)
TH9/512;Hess AG (bus, trolleybus) (Switzerland)
TKP;Panav a.s.  (truck trailer) (Czech Republic)
TK9/AH3;Atmos Chrást s.r.o. (Czech Republic)
TK9/PP7;Paragan Trucks (truck trailer) (Czech Republic)
TK9/SL5;SOR Libchavy buses (Czech Republic)
TLJ;Jawa Moto (Czech Republic)
TMA;[[../Hyundai/VIN Codes|Hyundai]] Motor Manufacturing Czech
TMB;Škoda Auto|Škoda (Czech Republic)
TMC;[[../Hyundai/VIN Codes|Hyundai]] Motor Manufacturing Czech
TMK;Karosa (Czech Republic)
TMP;Škoda trolleybuses (Czech Republic)
TMT;Tatra passenger car (Czech Republic)
TM9/SE3;Škoda Transportation trolleybuses (Czech Republic)
TM9/SE4;Škoda Transportation trolleybuses (Czech Republic)
TM9/TE6;TEDOM bus (Czech Republic)
TNA;Avia/Daewoo Avia
TNE;TAZ
TNG;LIAZ (Liberecké Automobilové Závody)
TNT;Tatra trucks
TNU;Tatra trucks
TN9;Karosa (Czech Republic)
TRA;Ikarus Bus
TRC;Csepel
TRK;Credo bus/Kravtex (Hungary)
TRR/CC0;Rába Bus (Hungary)
TRU;Audi Hungary
TSB;Ikarus Bus
TSE;Ikarus Egyedi Autobuszgyar (EAG) (Hungary)
TSF;Alfabusz (Hungary)
TSM;Suzuki Hungary (Magyar Suzuki), Fiat Sedici made by Suzuki in Hungary
TSY;Keeway Motorcycles (Hungary)
TS9/130;Enterprise Bus (Hungary)
TS9/131;MJT bus (Hungary)
TS9/156;Ikarus / Auto Rad Controlle Kft. (Hungary)
TT9/117;Ikarus / Magyar Autóbuszgyártó Kft. / MABI (Hungary)
TT9/117;Ikarus Egyedi Autobusz Gyarto Kft. (Hungary)
TT9/123;Ikarus Global Zrt. (Hungary)
TWG;CeatanoBus (Portugal)
TW1;Toyota Caetano Portugal, S.A. (Toyota Coaster, Dyna, Optimo, Land Cruiser 70 Series)
TW2;[[../Ford/VIN Codes|Ford]] Lusitana (Portugal)
TW4;UMM (Portugal)
TW6;Citroën (Portugal)
TW7;Mini Moke made by British Leyland & Austin Rover Portugal
TX5;Mini Moke made by Cagiva (Moke Automobili)
TYA;Mitsubishi Fuso Truck and Bus Corp. Portugal (right-hand drive)
TYB;Mitsubishi Fuso Truck and Bus Corp. Portugal (left-hand drive)
T49/BG7;FAP (Serbia)
T49/V16;MAZ / BIK (Serbia, bus)
UA4; Irizar e-mobility (Spain)
UD3;Granalu truck trailers (Belgium)
UKR;Hero Camper (Denmark)
UH9/DA3;DAB - Danish Automobile Building (acquired by Scania)
UH9/HF1;HFR Trailer A/S (truck trailer)
UH9/VM2;VM Tarm a/s (truck trailer)
UJG;Garia ApS (Denmark)
UN1;[[../Ford/VIN Codes|Ford]] Ireland
UU1;Dacia (Romania)
UU2;Oltcit
UU3;ARO
UU4;Roman SA
UU5;Rocar
UU6;Daewoo Romania
UU7;Euro Bus Diamond
UU9;Astra Bus
UV9;ATP Bus
UWR;Robus Reșița
UZT;UTB (Uzina de Tractoare Brașov)
U1A;Sanos (North Macedonia)
U5Y;Kia Motors Slovakia
U6Y;Kia Motors Slovakia
VAG;Steyr-Daimler-Puch Puch G & Steyr-Puch Pinzgauer
VAH;Hangler (truck trailer)
VAK;Kässbohrer Transport Technik
VAN;MAN Austria/Steyr-Daimler-Puch Steyr Trucks
VAV;Schwarzmüller
VA0;ÖAF, Gräf & Stift
VA4;KSR
VBK;KTM 
VBK;Husqvarna Motorcycles & Gas Gas under KTM ownership
VCF;Fisker Inc. (Fisker Ocean) made by Magna Steyr
VFA;Alpine, Renault Alpine GTA
VFN;Trailor (truck trailers)
VF1;Renault, Eagle Medallion made by Renault, Opel/Vauxhall Arena made by Renault, Mitsubishi ASX made by Renault
VF2;Renault Trucks
VF3;Peugeot
VF4;Talbot
VF5;Iveco Unic
VF6;Renault Trucks including vans made by Renault S.A.
VF7;Citroën
VF8;Matra Automobiles (Talbot-Matra Murena, Rancho made by Matra, Renault Espace I/II/III, Avantime made by Matra)
VF9/024;Legras Industries (truck trailer)
VF9/132;Jean CHEREAU S.A.S. (truck trailer)
VF9/300;EvoBus France
VF9/673;Venturi Automobiles
VF9/795;[[../Bugatti/VIN Codes|Bugatti Automobiles S.A.S.]]
VF9/880;Bolloré Bluebus
VGA;Peugeot Motocycles
VGY;Lohr (truck trailers)
VG5;MBK (motorcycles) & Yamaha Motor
VG6;Renault Trucks & Mack Trucks medium duty trucks made by Renault Trucks
VG7;Renault Trucks
VG8;Renault Trucks
VG9/019;Naya (autonomous vehicle)
VG9/061;Alstom-NTL Aptis (bus)
VHX;Manitowoc Cranes - Potain
VH1;Benalu SAS (truck trailer)
VJR;Ligier
VJY;Gruau
VJ1;Heuliez Bus
VJ2;Mia Electric
VK1;SEG (truck trailer)
VK2;Grandin Automobiles
VK8;Venturi Automobiles
VLG;Aixam-Mega
VLU;Scania France
VL4;Bluecar, Citroen E-Mehari
VMK;Renault Sport Spider
VMS;Automobiles Chatenet
VMW;Gépébus Oréos 55
VM3;Lamberet (trailer)
VN1;Renault SOVAB (France), Opel/Vauxhall Movano A made at SOVAB
VN4;Voxan
VNE;Iveco Bus/Irisbus (France)
VNK;[[../Toyota/VIN Codes|Toyota]] Motor Manufacturing France
VNV;Nissan made in France by Renault
VRW;Goupil
VR1;DS Automobiles
VR3;Peugeot
VR7;Citroën
VPL;Nosmoke S.A.S
VXE;Opel Automobile Gmbh/Vauxhall van
VXF;Fiat van (Fiat Scudo, Ulysse '22-)
VXK;Opel Automobile Gmbh/Vauxhall car/SUV
VYF;Fiat van (Fiat Doblo '23-)
VYS;Renault made by Ampere at Eletricity Douai (Renault 5 E-Tech)
UA2;Iveco Massif & Campagnola made by Santana Motors in Spain
VSA;Mercedes-Benz Spain
VSC;Talbot
VSE;Santana Motors (Land Rover Series-based models) & Suzuki SJ/Samurai, Jimny, & Vitara made by Santana Motors in Spain
VSF;Santana Motors (Anibal/PS-10, 300/350)
VSK;Nissan Motor Iberica SA, Nissan passenger car/MPV/van/SUV/pickup & Ford Maverick 1993–1999
VSR;Leciñena (truck trailers)
VSS;SEAT/Cupra
VSX;Opel Spain
VSY;Renault V.I. Spain (bus)
VS1;Pegaso
VS5;Renault Spain
VS6;[[../Ford/VIN Codes|Ford]] Spain
VS7;Citroën Spain
VS8;Peugeot Spain
VS9/001;Setra Seida (Spain)
VS9/016;Irizar bus (Spain)
VS9/031;Carrocerias Ayats (Spain)
VS9/032;Parcisa (truck trailer) (Spain)
VS9/044;Beulas bus (Spain)
VS9/098;Sunsundegui bus (Spain)
VS9/172;EvoBus Spain
VS9/917;Nogebus (Spain)
VTD;Montesa Honda (Honda Montesa motorcycle models)
VTH;Derbi (motorcycles)
VTL;Yamaha Spain (motorcycles)
VTM;Montesa Honda (Honda motorcycle models)
VTP;Rieju S.A. (motorcycles)
VTR;Gas Gas
VTT;Suzuki Spain (motorcycles)
VVC;SOR Ibérica (truck trailers)
VVG;Tisvol (truck trailers)
VV1;Lecitrailer Group (truck trailers)
VV9/;[[wikipedia:Tauro Sport Auto|TAURO]] Sport Auto Spain
VV9/010;Castrosúa bus (Spain)
VV9/359;Hispano-Suiza
VWA;Nissan Vehiculos Industriales SA, Nissan Commercial Vehicles
VWF;Guillén Group (truck trailers)
VWV;Volkswagen Spain
VX1;[[w:Zastava Automobiles|Zastava Automobiles]] / [[w:Yugo|Yugo]] (Yugoslavia/Serbia)
V1Y;FAS Sanos bus (Yugoslavia/North Macedonia)
V2X;Ikarbus a.d. (Serbia)
V31;Tvornica Autobusa Zagreb (TAZ) (Croatia)
V39/AB8;Rimac Automobili (Croatia)
V6A;Bestnet AS, Tiki trailers (Estonia)
V6B;Brentex-Trailer (Estonia)
V61;Respo Trailers (Estonia)
WAC;Audi/Porsche RS2 Avant
WAG;Neoplan
WAP;Alpina
WAU;Audi car
WA1;Audi SUV
WBA;BMW car
WBJ;Bitter Cars
WBK;Böcker Maschinenwerke GmbH 
WBS;BMW M car
WBU;Bürstner (caravans)
WBX;BMW SUV
WBY;BMW i car
WB0;Böckmann Fahrzeugwerke GmbH (trailers)
WB1;BMW Motorrad 
WB3;BMW Motorrad Motorcycles made in India by TVS
WB4;BMW Motorrad Motorscooters made in China by Loncin
WB5;BMW i SUV
WCD;Freightliner Sprinter "bus" (van with more than 3 rows of seats) 2008–2019
WDA;Mercedes-Benz incomplete vehicle (North America)
WDB;[[../Mercedes-Benz/VIN Codes|Mercedes-Benz]] & Maybach
WDC;Mercedes-Benz SUV
WDD;[[../Mercedes-Benz/VIN Codes|Mercedes-Benz]] car
WDF;[[../Mercedes-Benz/VIN Codes|Mercedes-Benz]] van/pickup (French & Spanish built models – Citan & Vito & X-Class)
WDP;Freightliner Sprinter incomplete vehicle 2005–2019
WDR;Freightliner Sprinter MPV (van with 2 or 3 rows of seats) 2005–2019
WDT;Dethleffs (caravans)
WDW;Dodge Sprinter "bus" (van with more than 3 rows of seats) 2008–2009
WDX;Dodge Sprinter incomplete vehicle 2005–2009
WDY;Freightliner Sprinter truck (cargo van with 1 row of seats) 2005–2019
WDZ;Mercedes-Benz "bus" (van with more than 3 rows of seats) (North America)
WD0;Dodge Sprinter truck (cargo van with 1 row of seats) 2005–2009
WD1;Freightliner Sprinter 2002 & Sprinter (Dodge or Freightliner) 2003–2005 incomplete vehicle
WD2;Freightliner Sprinter 2002 & Sprinter (Dodge or Freightliner) 2003–2005 truck (cargo van with 1 row of seats)
WD3;Mercedes-Benz truck (cargo van with 1 row of seats) (North America)
WD4;Mercedes-Benz MPV (van with 2 or 3 rows of seats) (North America)
WD5;Freightliner Sprinter 2002 & Sprinter (Dodge or Freightliner) 2003–2005 MPV (van with 2 or 3 rows of seats)
WD6;Freightliner Unimog truck
WD7;Freightliner Unimog incomplete vehicle
WD8;Dodge Sprinter MPV (van with 2 or 3 rows of seats) 2005–2009
WEB;Evobus GmbH (Mercedes-Benz buses)
WEL;e.GO Mobile AG
WFB;Feldbinder Spezialfahrzeugwerke GmbH
WFC;Fendt (caravans)
WFD;Fliegl Trailer
WF0;[[../Ford/VIN Codes|Ford]] Germany
WF1;Merkur
WG0;Goldhofer AG (truck trailer)
WHB;Hobby (recreational vehicles)
WHD;Humbaur GmbH (trailers)
WHW;Hako GmbH
WHY;Hymer (recreational vehicles)
WJM;Iveco/Iveco Magirus
WJR;Irmscher
WKE;Krone (truck trailers)
WKK;Setra (Evobus GmbH, formerly Kässbohrer)
WKN;Knaus (caravans)
WKV;Kässbohrer Fahrzeugwerke Gmbh (truck trailers)
WK0;Kögel (truck trailers)
WLA;Langendorf semi-trailers
WMA;MAN Truck & Bus 
WME;smart (from 5/99)
WMM;Karl Müller GmbH & Co. KG (truck trailers)
WMW;MINI car
WMX;Mercedes-AMG used for Mercedes-Benz SLS AMG & Mercedes-AMG GT (not used in North America)
WMZ;MINI SUV
WNA;Next.e.GO Mobile SE
WP0;Porsche car
WP1;Porsche SUV
WSE;STEMA Metalleichtbau GmbH (trailers)
WSK;Schmitz-Cargobull Gotha (truck trailers)
WSM;Schmitz-Cargobull (truck trailers)
WSV;Aebi Schmidt Group
WS5;StreetScooter
WS7;Sono Motors
WTA;Tabbert (caravans)
WUA;Audi Sport GmbH (formerly quattro GmbH) car
WU1;Audi Sport GmbH (formerly quattro GmbH) SUV
WVG;Volkswagen SUV & Touran
WVM;Arbeitsgemeinschaft VW-MAN
WVP;Viseon Bus
WVW;Volkswagen passenger car, Sharan, Golf Plus, Golf Sportsvan
WV1;Volkswagen Commercial Vehicles (cargo van or 1st gen. Amarok)
WV2;Volkswagen Commercial Vehicles (passenger van or minibus)
WV3;Volkswagen Commercial Vehicles (chassis cab)
WV4;Volkswagen Commercial Vehicles (2nd gen. Amarok made by Ford)
WZ1;Toyota Supra (Fifth generation)
W0D;Obermaier (truck trailer)
W0L;Adam Opel AG/Vauxhall & Holden
W0V;Opel Automobile Gmbh/Vauxhall & Holden (since 2017)
W04;Buick Regal & Buick Cascada
W06;Cadillac Catera
W08;Saturn Astra
W09/A71;Apollo
W09/B09;Bitter Cars
W09/B16;Brabus
W09/C09;Carnehl Fahrzeugbau (truck trailer)
W09/D05;Drögmöller
W09/G64;Gumpert
W09/H10;Heitling Fahrzeugbau
W09/H49;H&W Nutzfahrzeugtechnik GmbH (truck trailer)
W09/P13;Pagenkopf (truck trailer)
W09/R06;RUF
W09/S25;Spermann (truck trailer)
W09/W20;Kurt Willig GmbH & Co. KG  (truck trailer)
W09/W59;Wiesmann
W09/004;ORTEN Fahrzeugbau (truck trailer)
W1A;smart
W1H;Freightliner Econic
W1K;Mercedes-Benz car
W1N;Mercedes-Benz SUV
W1T;Mercedes-Benz truck
W1V;Mercedes-Benz van
W1W;Mercedes-Benz MPV (van with 2 or 3 rows of seats) (North America)
W1X;Mercedes-Benz incomplete vehicle (North America)
W1Y;Mercedes-Benz truck (cargo van with 1 row of seats) (North America)
W1Z;Mercedes-Benz "bus" (van with more than 3 rows of seats) (North America)
W2W;Freightliner Sprinter MPV (van with 2 or 3 rows of seats)
W2X;Freightliner Sprinter incomplete vehicle
W2Y;Freightliner Sprinter truck (cargo van with 1 row of seats)
W2Z;Freightliner Sprinter "bus" (van with more than 3 rows of seats)
XG6;MGK Hellenic Motor motorcycles (Greece)
XG8;Gorgolis SA motorcycles (Greece)
XG9/B01;Sfakianakis bus Greece
XΗ9/B21;Hellenic Vehicle Industry - ELVO bus Greece
XLA;DAF Bus International
XLB;Volvo Car B.V./NedCar B.V. (Volvo Cars)
XLC;[[../Ford/VIN Codes|Ford]] Netherlands
XLD;Pacton Trailers B.V.
XLE;Scania Netherlands
XLK;Burg Trailer Service BV (truck trailer)
XLR;DAF Trucks & Leyland DAF
XLV;DAF Bus
XLW;Terberg Benschop BV
XL3;Ebusco 2.2 and newer 
XL4;Lightyear
XL9/002;Jumbo Groenewegen (truck trailers)
XL9/003;Autobusfabriek Bova BV
XL9/007;Broshuis BV (truck trailer)
XL9/010;Ginaf Trucks
XL9/017;MTDK a/s (truck trailer)
XL9/021;Donkervoort Cars
XL9/042;Den Oudsten Bussen
XL9/073;Zwalve (truck trailer)
XL9/109;Groenewold Carrosseriefabriek B.V. (car transporter)
XL9/251;Spierings Mobile Cranes
XL9/320;VDL Bova
XL9/355;Berdex (truck trailer)
XL9/363;Spyker
XL9/530;Ebusco
XMC;NedCar B.V. Mitsubishi Motors (LHD)
XMD;NedCar B.V. Mitsubishi Motors (RHD)
XMG;VDL Bus International
XMR;Nooteboom Trailers 
XM4;RAVO Holding B.V.
XNB;NedCar B.V. Mitsubishi Motors (Colt CZC convertible - RHD)
XNC;NedCar B.V. Mitsubishi Motors (Colt CZC convertible - LHD)
XNL;VDL Bus & Coach
XNT;Pacton Trailers B.V. (truck trailer)
XN1;Kraker Trailers Axel B.V. (truck trailer)
XPN;Knapen Trailers
XP7;Tesla Europe (based in the Netherlands) (Gigafactory Berlin-Brandenburg)
XTA;Lada / AvtoVAZ (Russia)
XTB;Moskvitch / AZLK (Russia)
XTC;KAMAZ (Russia)
XTE;ZAZ (Ukraine)
XTF;GolAZ (Russia) 
XTH;GAZ (Russia)
XTK;IzhAvto (Russia)
XTM;MAZ (Belarus); used until 1997
XTP;Ural (Russia)
XTT;UAZ / Sollers (Russia)
XTU;Trolza, previously ZiU (Russia)
XTW;LAZ (Ukraine)
XTY;LiAZ (Russia)
XTZ;ZiL (Russia)
XUF;General Motors Russia
XUU;AvtoTor (Russia, Chevrolet SKD)
XW7;Toyota Motor Manufacturing Russia
XW8;Volkswagen Group Russia
XWB;UZ-Daewoo/GM Uzbekistan/Ravon/UzAuto Motors (Uzbekistan)
XWE;AvtoTor (Russia, Hyundai-Kia SKD)
XWF;AvtoTor (Russia, Chevrolet Tahoe/Opel/Cadillac/Hummer SKD)
XX3;Ujet Manufacturing (Luxembourg)
XZG;Great Wall Motor (Haval Motor Rus)
X1D;RAF (Rīgas Autobusu Fabrika)
X1E;KAvZ (Russia)
X1F;NefAZ (Russia)
X1M;PAZ (Russia)
X4X;AvtoTor (Russia, BMW SKD)
X7L;Renault AvtoFramos (Russia)
X7M;[[../Hyundai/VIN Codes|Hyundai]] & Vortex (rebadged Chery) made by TagAZ (Russia)
X89/;ВМЗ (VMZ) trolleybus
X89/FY1;Sherp 
X8J;IMZ-Ural Ural Motorcycles
X8U;Scania Russia
X96;GAZ
X9F;Ford Motor Company ZAO
X9L;GM-AvtoVAZ
X9P;Volvo Vostok ZAO Volvo Trucks
X9X;Great Wall Motors 
X99/000;Marussia
YAF;Faymonville (special transport trailers)
YAR;Toyota Motor Europe (based in Belgium) used for Toyota ProAce & Toyota ProAce City made by PSA/Stellantis
YA2;Atlas Copco Group
YA9/;Lambrecht Constructie NV (truck trailers)
YA9/111;OVA (truck trailer)
YA9/168;Forthomme s.a. (truck trailer)
YA9/169;Automobiles Gillet
YBD;Addax Motors
YBW;Volkswagen Belgium
YB1;Volvo Trucks Belgium (truck)
YB2;Volvo Trucks Belgium (bus chassis)
YB3;Volvo Trucks Belgium (incomplete vehicle)
YB6;Jonckheere
YCM;Mazda Motor Logistics Europe (based in Belgium) used for European-market Mazda 121 made by Ford in UK
YC1;Honda Belgium NV (motorcycle)
YE1;Van Hool (trailers)
YE2;Van Hool (buses)
YE6;STAS (truck trailer)
YF3;NTM truck trailer (Finland)
YH1;Solifer (caravans)
YH2;BRP Finland (Lynx snowmobiles)
YH4;Fisker Automotive (Fisker Karma) built by Valmet Automotive
YK1;Saab-Valmet Finland
YK2, YK7;Sisu Auto
YK9/016;Linkker (bus)
YSC;Cadillac BLS (made by Saab)
YSM;Polestar cars 
YSP;Volta Trucks AB
YSR;Polestar SUV
YS2;Scania commercial vehicles (Södertälje factory) 
YS3;Saab cars
YS4;Scania buses and bus chassis until 2002 (Katrineholm factory)
YTN;Saab NEVS
YT7;Kabe (caravans)
YT9/007;Koenigsegg
YT9/034;Carvia
YU1;Fogelsta, Brenderup Group (trailer)
YU7;Husaberg (motorcycles)
YVV;WiMa 442 EV
YV1;[[../Volvo/VIN Codes|Volvo]] cars
YV2;[[../Volvo/VIN Codes|Volvo]] trucks
YV3;[[../Volvo/VIN Codes|Volvo]] buses and bus chassis
YV4;[[../Volvo/VIN Codes|Volvo]] SUV
YV5;[[../Volvo/VIN Codes|Volvo Trucks]] incomplete vehicle
YYC;Think Nordic (Norway)
Y29/005;Buddy Electric (Norway)
Y3J;Belkommunmash (Belarus)
Y3M;MAZ (Belarus)
Y4F;[[../Ford/VIN Codes|Ford]] Belarus
Y4K;Geely (Belarus)
Y6D;ZAZ / AvtoZAZ (Ukraine)
Y6J;Bogdan group (Ukraine)
Y6L;Hyundai made by Bogdan (Ukraine)
Y6U;Škoda Auto made by Eurocar (Ukraine)
Y7B;Bogdan group (Ukraine)
Y7C;Great Wall Motors made by KrASZ (Ukraine)
Y7F;Boryspil Bus Factory (Ukraine)
Y79/A23;OdAZ (truck trailer) (Ukraine)
Y8A;LAZ (Ukraine)
Y9H;LAZ (Ukraine)
Y9W;Pragmatec (trailer) (Ukraine)
ZAA;Autobianchi
ZAC;Jeep, Dodge Hornet
ZAH;Rolfo SpA (car transporter)
ZAJ;Trigano SpA; Roller Team recreational vehicles
ZAM;[[../Maserati/VIN Codes|Maserati]]
ZAP;Piaggio/Vespa/Gilera
ZAR;Alfa Romeo
ZAS;Alfa Romeo Alfasud & Sprint through 1989
ZAS;Alfa Romeo SUV 2018-
ZAX;Zorzi (truck trailer)
ZA4;Omar (truck trailer)
ZA9/A12;[[../Lamborghini/VIN Codes|Lamborghini]] through mid 2003
ZA9/B49;OMSP Macola (truck trailer)
ZA9/B95;Carrozzeria Autodromo Modena bus
ZA9/D38;Cizeta Automobili SRL
ZA9/D39;[[../Bugatti/VIN Codes|Bugatti Automobili S.p.A]]
ZA9/E15;Tecnobus Industries S.r.l.
ZA9/F16;OMT (truck trailer)
ZA9/F48;Rampini Carlo S.p.A. (bus)
ZA9/F76;Pagani Automobili S.p.A.
